id,instruction,input,output,image,predict
2127e96c17273966761471590d0b0d,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 暂时无法识别您的图片信息，麻烦您提供一下产品链接，或者用文字描述一下问题哦。
用户: 昨晚贴的，今天起气泡了
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,气泡,['2127e96c17273966761471590d0b0d-0.jpg'],单品推荐
213d9dcd17272739522127750d0b37,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: https://item.taobao.com/item.htm?id=543838252331
客服: 
用户: <image>
客服: 
用户: 这一款智能调光
客服: 【智控款】灯具，支持调节亮度的哈，  三档调色不支持调节亮度哦
用户: 是用手机调嘛
客服: 灯具连接步骤可以参考以下步骤哦↓↓
用户: <image>
客服: 可以参考下说明书哦， 说明书会有详细操作步骤
用户: 这款上面没写可以开关控制
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,控制方式,"['213d9dcd17272739522127750d0b37-0.jpg', '213d9dcd17272739522127750d0b37-1.jpg']",控制方式
212a804e17273889606547127d102f,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 亲，在的呢！这款宝贝您遇到了什么问题呢？
用户: 这个颜色没有前天的黑，前天完全是黑色的
客服: 
用户: 昨天没有吃狗粮颜色变回来了一点
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,反馈用后症状,['212a804e17273889606547127d102f-0.jpg'],反馈用后症状
0b514a6217277358451665317d0fb4,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 
用户: 老是蓝灯没有信号怎么回事呢
客服: 
用户: http://item.taobao.com/item.htm?id=722106765456
客服: 亲亲，设备自带多个贴片式高密度加强天线，不管您是农村、偏远地区都能接收的，并且设备支持多个运营商
用户: 总是蓝灯没信号
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,信号情况,['0b514a6217277358451665317d0fb4-0.jpg'],信号情况
21074a7717275661958963958d103e,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 宝贝，请问有什么可以帮到您的吗？
用户: 这一套的链接麻烦发下小姐姐
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,套装推荐,['21074a7717275661958963958d103e-0.jpg'],发货数量
21087db117280545492036631d0a76,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 亲，店小蜜还小哦，看不懂图片呢，辛苦您再简单描述一下遇到的问题哦
用户: 有没有一套红色的
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,套装推荐,['21087db117280545492036631d0a76-0.jpg'],套装推荐
21077ee817275899060763659d0b15,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 暂时无法识别您的图片信息，麻烦您提供一下产品链接，或者用文字描述一下问题哦。
用户: 这些气泡24小时会消失吗
客服: 🔸 水凝膜产生的气泡，通常会在24小时左右自动消失。  🔸 钢化膜产生的气泡，可按以下方法处理。  1、气泡内有灰尘： 轻轻揭开贴膜，使用除尘贴将气泡内的灰尘粘掉，然后再轻轻贴上膜。  2、气泡内没有灰尘： 您可以使用刮卡或银行卡，将气泡往边缘挤出。
用户: 里面的气泡挤不了呀
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,气泡,['21077ee817275899060763659d0b15-0.jpg'],反馈用后症状
213dec3d17278675121847872d0f8f,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: https://item.taobao.com/item.htm?id=668623552105
客服: 亲亲 这款多功能调奶器一台499.00-999.00元，既能烧水调奶温奶又能消毒烘干，日常带娃需求一机搞定~  ❤收货后秀图评价送奶瓶刷1份【每个ID限送1份】 ~
用户: 里面什么材质
客服: 亲亲 <dxm:highlight>玻璃壶身是高硼硅玻璃</dxm:highlight>的，水壶内底部是316不锈钢，上盖内侧是304不锈钢的~  其他部件的材质可参考图片看下哦👇
用户: <image>
客服: 亲亲 <dxm:highlight>玻璃壶身是高硼硅玻璃</dxm:highlight>的，水壶内底部是316不锈钢，上盖内侧是304不锈钢的~  其他部件的材质可参考图片看下哦👇
用户: 这个是哪个地方
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,商品材质,['213dec3d17278675121847872d0f8f-0.jpg'],商品材质
210811f817278005478114052d0ae9,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 宝，在的呢！这款宝贝您遇到了什么问题呢？
用户: 很干很红很多天了
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,反馈用后症状,['210811f817278005478114052d0ae9-0.jpg'],适用季节
213e4e8b17282798036352639d0f89,"你是一个电商客服专家，请根据用户与客服的多轮对话判断用户的意图分类标签。
<用户与客服的对话 START>
用户: <image>
客服: 亲，店小蜜还不能通过图片看懂您的问题哦，辛苦您再用文字简单地描述一下呢
用户: 你好这个会不会退色
<用户与客服的对话 END>
请直接只输出分类标签结果，不需要其他多余的话。以下是可以参考的分类标签为：[""反馈密封性不好"",""是否好用"",""是否会生锈"",""排水方式"",""包装区别"",""发货数量"",""反馈用后症状"",""商品材质"",""功效功能"",""是否易褪色"",""适用季节"",""能否调光"",""版本款型区别"",""单品推荐"",""用法用量"",""控制方式"",""上市时间"",""商品规格"",""信号情况"",""养护方法"",""套装推荐"",""何时上货"",""气泡""]
",,是否易褪色,['213e4e8b17282798036352639d0f89-0.jpg'],商品规格
